Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Number of Outputs,Output Power,Input Voltage,Output Voltage-Channel 1,Output Current-Channel 1,Output Voltage-Channel 2,Output Current-Channel 2,Isolation Voltage,Mounting Style,Package / Case,Length,Width,Height,Industry,Product,Series
81-MYBSS054R6EBF,MYBSS054R6EBF,Murata Electronics,https://www.murata-ps.com/datasheet?/data/power/MYBSS054R6EBF.pdf,195  In Stock,"=""$35.45""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Murata-Electronics/MYBSS054R6EBF?qs=sGAEpiMZZMve4/bfQkoj%2BDCVo02qC56BlNY1helprn0=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MYBSS054R6EBF&utm_content=Murata-Electronics,,,,,,,,,,,,,,,Isolated,
919-REM15-4812SW,REM15-4812SW,RECOM Power,https://www.mouser.com/datasheet/2/468/REM15-W-1393009.pdf,35  In Stock,"=""$67.53""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/REM15-4812SW?qs=sGAEpiMZZMve4/bfQkoj%2BNLJGtX0fmwmd/rSNPttR2E=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=REM15-4812SW&utm_content=RECOM-Power,1 Output,15 W,18 V to 75 V,12 V,"=""1.25 A""",,,5 kVAC,SMD/SMT,,40.6 mm,25.4 mm,10.2 mm,"Medical, Industrial",Isolated,REM15-W
490-PYBE30-Q24-S5-T,PYBE30-Q24-S5-T,CUI,https://www.mouser.com/datasheet/2/670/pybe30-t-1525750.pdf,44  In Stock,"=""$40.73""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PYBE30-Q24-S5-T?qs=sGAEpiMZZMve4/bfQkoj%2BKk0u5oXtUPZdGnYUXCiD%2BE=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PYBE30-Q24-S5-T&utm_content=CUI,1 Output,30 W,9 V to 36 V,5 V,"=""6 A""",,,1.5 kV,Chassis,,76 mm,31.5 mm,21.2 mm,,Isolated,PYBE30
490-PYBE30-Q24-S12-T,PYBE30-Q24-S12-T,CUI,https://www.mouser.com/datasheet/2/670/pybe30-t-1525750.pdf,53  In Stock,"=""$40.73""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PYBE30-Q24-S12-T?qs=sGAEpiMZZMve4/bfQkoj%2BPEWImwPvAByNyF7h3Y%2BZOI=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PYBE30-Q24-S12-T&utm_content=CUI,1 Output,30 W,9 V to 36 V,12 V,"=""2.5 A""",,,1.5 kV,Chassis,,76 mm,31.5 mm,21.2 mm,,Isolated,PYBE30
490-PYBE20-Q24-S5DIN,PYBE20-Q24-S5-DIN,CUI,https://www.mouser.com/datasheet/2/670/pybe20-din-1525745.pdf,68  In Stock,"=""$40.65""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PYBE20-Q24-S5-DIN?qs=sGAEpiMZZMve4/bfQkoj%2BD8nTSa8bASzCUfj5UM1n/w=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PYBE20-Q24-S5-DIN&utm_content=CUI,1 Output,20 W,9 V to 36 V,5 V,"=""4 A""",,,1.5 kV,DIN Rail,,76 mm,31.5 mm,25.8 mm,,Isolated,PYBE20
490-PYBE30-Q24S12DIN,PYBE30-Q24-S12-DIN,CUI,https://www.mouser.com/datasheet/2/670/pybe30-din-1525731.pdf,50  In Stock,"=""$40.07""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PYBE30-Q24-S12-DIN?qs=sGAEpiMZZMve4/bfQkoj%2BN/cvt3BtnWnDbl/7maTSXY=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PYBE30-Q24-S12-DIN&utm_content=CUI,1 Output,30 W,9 V to 36 V,12 V,"=""2.5 A""",,,1.5 kV,DIN Rail,,76 mm,31.5 mm,25.8 mm,,Isolated,PYBE30
490-PYBE30-Q24-S5DIN,PYBE30-Q24-S5-DIN,CUI,https://www.mouser.com/datasheet/2/670/pybe30-din-1525731.pdf,60  In Stock,"=""$40.07""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PYBE30-Q24-S5-DIN?qs=sGAEpiMZZMve4/bfQkoj%2BK5vd7CoaX1L%2BOJL1yM6k7o=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PYBE30-Q24-S5-DIN&utm_content=CUI,1 Output,30 W,9 V to 36 V,5 V,"=""6 A""",,,1.5 kV,DIN Rail,,76 mm,31.5 mm,25.8 mm,,Isolated,PYBE30
490-PYBE20-Q24-S24,PYBE20-Q24-S24,CUI,https://www.mouser.com/datasheet/2/670/pybe20-1525738.pdf,89  In Stock,"=""$25.81""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PYBE20-Q24-S24?qs=sGAEpiMZZMve4/bfQkoj%2BKVG/t5ZKaHPAECxPxIpQyA=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PYBE20-Q24-S24&utm_content=CUI,1 Output,20 W,9 V to 36 V,24 V,834 mA,,,1.5 kV,Through Hole,,50.8 mm,25.4 mm,11.8 mm,,Isolated,PYBE20
490-PYBE20-Q24-S12-T,PYBE20-Q24-S12-T,CUI,https://www.mouser.com/datasheet/2/670/pybe20-t-1525716.pdf,104  In Stock,"=""$38.76""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PYBE20-Q24-S12-T?qs=sGAEpiMZZMve4/bfQkoj%2BEPCRZbCsubqXmlrr9O2DA4=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PYBE20-Q24-S12-T&utm_content=CUI,1 Output,20 W,9 V to 36 V,12 V,"=""1.667 A""",,,1.5 kV,Chassis,,76 mm,31.5 mm,21.2 mm,,Isolated,PYBE20
490-PYBE20-Q24S12DIN,PYBE20-Q24-S12-DIN,CUI,https://www.mouser.com/datasheet/2/670/pybe20-din-1525745.pdf,67  In Stock,"=""$40.65""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/CUI/PYBE20-Q24-S12-DIN?qs=sGAEpiMZZMve4/bfQkoj%2BMRyS9lUfaxfxHXi1RDyRdc=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PYBE20-Q24-S12-DIN&utm_content=CUI,1 Output,20 W,9 V to 36 V,12 V,"=""1.667 A""",,,1.5 kV,DIN Rail,,76 mm,31.5 mm,25.8 mm,,Isolated,PYBE20
