Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Number of Outputs,Output Power,Input Voltage,Output Voltage-Channel 1,Output Current-Channel 1,Output Voltage-Channel 2,Output Current-Channel 2,Isolation Voltage,Mounting Style,Package / Case,Length,Width,Height,Industry,Product,Series
919-REM6E-1212S/R8/A,REM6E-1212S/R8/A,RECOM Power,https://www.mouser.com/datasheet/2/468/REM6E-1398234.pdf,28  In Stock,"=""$35.67""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/REM6E-1212S-R8-A?qs=sGAEpiMZZMve4/bfQkoj%2BNFibQf2tgsh%2BM48BdqpgsI=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=REM6E-1212S/R8/A&utm_content=RECOM-Power,1 Output,6 W,9 V to 18 V,12 V,500 mA,,,8 kVDC,Through Hole,DIP-24,31.8 mm,20.3 mm,10.2 mm,Medical,Isolated,REM6E
919-REM5E1209SR8AC,REM5E-1209S/R8/A/CTRL,RECOM Power,https://www.mouser.com/datasheet/2/468/REM5E-1398251.pdf,Non-Stocked Lead-Time 9 Weeks,"=""$36.29""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/REM5E-1209S-R8-A-CTRL?qs=sGAEpiMZZMve4/bfQkoj%2BGEXmmWFOTCcJbFD04WlwUc=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=REM5E-1209S/R8/A/CTRL&utm_content=RECOM-Power,1 Output,5 W,9 V to 18 V,9 V,556 mA,,,8 kVDC,Through Hole,DIP-24,31.8 mm,20.3 mm,10.2 mm,Medical,Isolated,REM5E
919-REM5E-1209SR8AX1,REM5E-1209S/R8/A/X1,RECOM Power,https://www.mouser.com/datasheet/2/468/REM5E-1398251.pdf,Non-Stocked Lead-Time 9 Weeks,"=""$36.29""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/REM5E-1209S-R8-A-X1?qs=sGAEpiMZZMve4/bfQkoj%2BFW%2Bgnc44HAmRGXQIhDnjxw=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=REM5E-1209S/R8/A/X1&utm_content=RECOM-Power,1 Output,5 W,9 V to 18 V,9 V,556 mA,,,8 kVDC,Through Hole,DIP-24,31.8 mm,20.3 mm,10.2 mm,Medical,Isolated,REM5E
919-REM5E1205SR8AC,REM5E-1205S/R8/A/CTRL,RECOM Power,https://www.mouser.com/datasheet/2/468/REM5E-1398251.pdf,Non-Stocked Lead-Time 9 Weeks,"=""$36.29""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/REM5E-1205S-R8-A-CTRL?qs=sGAEpiMZZMve4/bfQkoj%2BCxloAO0OeYmFMQZkONjNAs=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=REM5E-1205S/R8/A/CTRL&utm_content=RECOM-Power,1 Output,5 W,9 V to 18 V,5 V,"=""1 A""",,,8 kVDC,Through Hole,DIP-24,31.8 mm,20.3 mm,10.2 mm,Medical,Isolated,REM5E
919-REM5E-1205D/R8/A,REM5E-1205D/R8/A,RECOM Power,https://www.mouser.com/datasheet/2/468/REM5E-1398251.pdf,Non-Stocked Lead-Time 9 Weeks,"=""$36.29""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/REM5E-1205D-R8-A?qs=sGAEpiMZZMve4/bfQkoj%2BDSU7SHP3/nVoDsmnErQYos=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=REM5E-1205D/R8/A&utm_content=RECOM-Power,2 Output,5 W,9 V to 18 V,5 V,500 mA,- 5 V,500 mA,8 kVDC,Through Hole,DIP-24,31.8 mm,20.3 mm,10.2 mm,Medical,Isolated,REM5E
919-REM5E-1205SR8AX1,REM5E-1205S/R8/A/X1,RECOM Power,https://www.mouser.com/datasheet/2/468/REM5E-1398251.pdf,Non-Stocked Lead-Time 9 Weeks,"=""$36.29""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/REM5E-1205S-R8-A-X1?qs=sGAEpiMZZMve4/bfQkoj%2BNCAR7YBh/CAJr82CLceUEg=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=REM5E-1205S/R8/A/X1&utm_content=RECOM-Power,1 Output,5 W,9 V to 18 V,5 V,"=""1 A""",,,8 kVDC,Through Hole,DIP-24,31.8 mm,20.3 mm,10.2 mm,Medical,Isolated,REM5E
919-REM5E0505SR6ASMD,REM5E-0505S/R6/A/SMD,RECOM Power,https://www.mouser.com/datasheet/2/468/REM5E-1398251.pdf,30  In Stock,"=""$37.24""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/REM5E-0505S-R6-A-SMD?qs=sGAEpiMZZMve4/bfQkoj%2BKpcwlbZX4DyMyY9CcD046c=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=REM5E-0505S/R6/A/SMD&utm_content=RECOM-Power,1 Output,5 W,4.5 V to 9 V,5 V,1000 mA,,,6 kVDC,Through Hole,DIP-24,31.8 mm,20.3 mm,10.2 mm,"Medical, Industrial",Isolated,REM5E
919-REM5E0509SR6ASMD,REM5E-0509S/R6/A/SMD,RECOM Power,https://www.mouser.com/datasheet/2/468/REM5E-1398251.pdf,Non-Stocked Lead-Time 9 Weeks,"=""$37.24""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/REM5E-0509S-R6-A-SMD?qs=sGAEpiMZZMve4/bfQkoj%2BF%2BC3kxKkb%2BQHlr6G7lXVi4=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=REM5E-0509S/R6/A/SMD&utm_content=RECOM-Power,1 Output,5 W,4.5 V to 9 V,9 V,556 mA,,,6 kVDC,Through Hole,DIP-24,31.8 mm,20.3 mm,10.2 mm,"Medical, Industrial",Isolated,REM5E
919-REM5E-0505D/R8/A,REM5E-0505D/R8/A,RECOM Power,https://www.mouser.com/datasheet/2/468/REM5E-1398251.pdf,Non-Stocked Lead-Time 9 Weeks,"=""$38.19""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/REM5E-0505D-R8-A?qs=sGAEpiMZZMve4/bfQkoj%2BKxXDK0xrEwvdQA3PUOYJEo=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=REM5E-0505D/R8/A&utm_content=RECOM-Power,2 Output,5 W,4.5 V to 9 V,5 V,500 mA,- 5 V,500 mA,8 kVDC,Through Hole,DIP-24,31.8 mm,20.3 mm,10.2 mm,Medical,Isolated,REM5E
919-REM5E-0505SR8AX1,REM5E-0505S/R8/A/X1,RECOM Power,https://www.mouser.com/datasheet/2/468/REM5E-1398251.pdf,Non-Stocked Lead-Time 9 Weeks,"=""$38.19""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/REM5E-0505S-R8-A-X1?qs=sGAEpiMZZMve4/bfQkoj%2BNrormYKlMbl3n9baz5BS%2Bs=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=REM5E-0505S/R8/A/X1&utm_content=RECOM-Power,1 Output,5 W,4.5 V to 9 V,5 V,"=""1 A""",,,8 kVDC,Through Hole,DIP-24,31.8 mm,20.3 mm,10.2 mm,Medical,Isolated,REM5E
919-REM5E0509SR8AC,REM5E-0509S/R8/A/CTRL,RECOM Power,https://www.mouser.com/datasheet/2/468/REM5E-1398251.pdf,Non-Stocked Lead-Time 9 Weeks,"=""$38.19""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/REM5E-0509S-R8-A-CTRL?qs=sGAEpiMZZMve4/bfQkoj%2BPcXjNUkhmmk7kkL27DnTrg=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=REM5E-0509S/R8/A/CTRL&utm_content=RECOM-Power,1 Output,5 W,4.5 V to 9 V,9 V,556 mA,,,8 kVDC,Through Hole,DIP-24,31.8 mm,20.3 mm,10.2 mm,Medical,Isolated,REM5E
919-REM5E0505SR8AC,REM5E-0505S/R8/A/CTRL,RECOM Power,https://www.mouser.com/datasheet/2/468/REM5E-1398251.pdf,Non-Stocked Lead-Time 9 Weeks,"=""$38.19""",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/RECOM-Power/REM5E-0505S-R8-A-CTRL?qs=sGAEpiMZZMve4/bfQkoj%2BPQ2oOvwputwdubJEMm7r6Q=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=REM5E-0505S/R8/A/CTRL&utm_content=RECOM-Power,1 Output,5 W,4.5 V to 9 V,5 V,"=""1 A""",,,8 kVDC,Through Hole,DIP-24,31.8 mm,20.3 mm,10.2 mm,Medical,Isolated,REM5E
